player_id_global,player_name,club,division,position_tm,availability_pct,total_distance_per90,hi_runs_per90,sprint_runs_per90,n_matches_60plus
Eredivisie:101,Kristoffer Peterson,Fortuna Sittard,Eredivisie,DM,100.0,10424.9,27.7,11.0,11.0
Eredivisie:118,Owen Wijndal,Ajax,Eredivisie,LB,67.9,10278.0,24.8,11.4,16.0
Eredivisie:120,Myron Boadu,PSV,Eredivisie,CF,46.4,9712.7,34.3,11.8,1.0
Eredivisie:123,Jordy Clasie,AZ,Eredivisie,DM,25.0,10274.7,21.1,2.8,6.0
Eredivisie:125,Dani de Wit,FC Utrecht,Eredivisie,AM,78.6,11944.2,37.2,4.7,19.0
Eredivisie:127,,Feyenoord,Eredivisie,,7.1,,,,
Eredivisie:130,Kenzo Goudmijn,Go Ahead Eagles,Eredivisie,AM,53.6,11702.2,41.6,6.3,8.0
Eredivisie:131,Danny Bakker,Telstar,Eredivisie,CB,89.3,10241.0,24.4,6.4,23.0
Eredivisie:134,Aaron Meijers,FC Volendam,Eredivisie,LB,71.4,10791.5,27.0,8.2,2.0
Eredivisie:136,Luuk Koopmans,Fortuna Sittard,Eredivisie,GK,67.9,5177.3,0.8,0.0,7.0
Eredivisie:1407,Jasper Cillessen,N.E.C.,Eredivisie,GK,42.9,5894.3,1.0,0.0,2.0
Eredivisie:1414,Patrick van Aanholt,Sparta Rotterdam,Eredivisie,LB,57.1,9637.2,22.3,9.4,7.0
Eredivisie:1425,Calvin Raatsie,Excelsior,Eredivisie,GK,42.9,6589.5,2.9,0.5,2.0
Eredivisie:1426,Quinten Timber,Feyenoord,Eredivisie,DM,60.7,10307.5,31.0,7.5,14.0
Eredivisie:1429,Shawn Adewoye,Fortuna Sittard,Eredivisie,CB,89.3,10070.9,20.3,5.9,19.0
Eredivisie:143,Bilal Ould-Chikh,FC Volendam,Eredivisie,RW,28.6,9556.2,21.9,8.7,6.0
Eredivisie:1434,Silvinho Esajas,FC Volendam,Eredivisie,CM,32.1,,,,
Eredivisie:1437,Neraysho Kasanwirjo,Fortuna Sittard,Eredivisie,CB,39.3,9975.5,19.9,5.5,9.0
Eredivisie:1438,Daan Reiziger,Telstar,Eredivisie,GK,53.6,4560.9,0.9,0.9,1.0
Eredivisie:1439,Giovanni van Zwam,Go Ahead Eagles,Eredivisie,CB,57.1,10324.2,27.2,5.4,5.0
Eredivisie:1444,Kian Fitz-Jim,Ajax,Eredivisie,CM,85.7,11809.0,35.7,11.3,4.0
Eredivisie:1445,Zico Buurmeester,PEC Zwolle,Eredivisie,DM,67.9,11996.8,37.8,10.5,8.0
Eredivisie:1451,,PSV,Eredivisie,,46.4,,,,
Eredivisie:1456,Kaj de Rooij,PEC Zwolle,Eredivisie,LW,96.4,10333.7,29.2,12.4,16.0
Eredivisie:1457,,NAC Breda,Eredivisie,,42.9,,,,
Eredivisie:146,Bryan Linssen,N.E.C.,Eredivisie,CF,96.4,10648.0,31.9,9.7,24.0
Eredivisie:1462,Gerrit Nauber,Go Ahead Eagles,Eredivisie,CB,32.1,9206.0,12.7,3.6,9.0
Eredivisie:1463,Bas Kuipers,FC Twente,Eredivisie,CF,46.4,,,,
Eredivisie:1464,Mats Deijl,Feyenoord,Eredivisie,RB,96.4,11161.3,29.9,9.9,26.0
Eredivisie:1466,Luuk Brouwers,sc Heerenveen,Eredivisie,DM,85.7,11320.0,36.8,8.6,19.0
Eredivisie:1468,Boyd Lucassen,NAC Breda,Eredivisie,CM,75.0,10538.4,26.5,8.8,11.0
Eredivisie:147,Armando Obispo,PSV,Eredivisie,CB,85.7,10063.9,19.2,5.1,7.0
Eredivisie:1473,Andries Noppert,sc Heerenveen,Eredivisie,GK,46.4,5369.3,0.7,0.2,4.0
Eredivisie:1487,Ernest Poku,AZ,Eredivisie,RW,3.6,9903.2,27.7,9.2,1.0
Eredivisie:150,Remko Pasveer,Heracles Almelo,Eredivisie,GK,75.0,5083.9,0.7,0.0,12.0
Eredivisie:1503,Dimitrios Limnios,Fortuna Sittard,Eredivisie,RW,100.0,10955.3,33.1,12.3,19.0
Eredivisie:1504,Ricky van Wolfswinkel,FC Twente,Eredivisie,LW,89.3,10632.3,33.8,9.3,16.0
Eredivisie:1508,Youri Baas,Ajax,Eredivisie,CB,89.3,10010.4,20.1,5.5,25.0
Eredivisie:1510,Mattijs Branderhorst,Fortuna Sittard,Eredivisie,GK,75.0,4935.2,0.9,0.2,21.0
Eredivisie:1511,Iván Márquez,Fortuna Sittard,Eredivisie,RB,100.0,9548.9,15.3,4.6,25.0
Eredivisie:1513,Bart van Rooij,FC Twente,Eredivisie,RB,96.4,10594.9,32.6,15.2,27.0
Eredivisie:1514,Souffian El Karouani,FC Utrecht,Eredivisie,LB,92.9,10588.5,28.7,12.0,26.0
Eredivisie:1515,Dirk Proper,N.E.C.,Eredivisie,CF,75.0,11539.7,32.3,8.1,11.0
Eredivisie:1521,Ilias Bronkhorst,Excelsior,Eredivisie,RB,96.4,10841.5,26.9,13.0,23.0
Eredivisie:1548,Mees de Wit,AZ,Eredivisie,LB,96.4,10887.3,29.6,9.0,26.0
Eredivisie:155,Eli Dasa,N.E.C.,Eredivisie,CB,60.7,10366.5,31.8,10.6,16.0
Eredivisie:1556,Djevencio van der Kust,Heracles Almelo,Eredivisie,LB,71.4,10542.1,38.9,11.8,10.0
Eredivisie:157,Yassin Oukili,Fortuna Sittard,Eredivisie,RW,25.0,,,,
Eredivisie:1570,Lennard Hartjes,Excelsior,Eredivisie,DM,53.6,11635.2,30.4,13.2,11.0
Eredivisie:1572,Mike van der Hoorn,FC Utrecht,Eredivisie,CB,82.1,9644.4,17.7,4.5,17.0
Eredivisie:1577,Arthur Zagré,Excelsior,Eredivisie,LB,85.7,9991.7,26.9,11.0,21.0
Eredivisie:1578,Mimeirhel Benita,Heracles Almelo,Eredivisie,RB,82.1,9587.7,22.0,8.2,9.0
Eredivisie:158,Thomas Buitink,PEC Zwolle,Eredivisie,CF,42.9,,,,
Eredivisie:1591,Ivo Daniel Ferreira Mendonça Pinto,Fortuna Sittard,Eredivisie,RB,96.4,10471.2,27.6,14.1,22.0
Eredivisie:1602,Ringo Meerveld,sc Heerenveen,Eredivisie,AM,85.7,11864.6,36.7,8.8,23.0
Eredivisie:1604,,Go Ahead Eagles,Eredivisie,,21.4,,,,
Eredivisie:1611,Rick Meissen,Excelsior,Eredivisie,CB,96.4,9912.4,18.7,5.4,21.0
Eredivisie:1614,Thijmen Blokzijl,FC Groningen,Eredivisie,CB,100.0,10178.4,22.8,5.9,28.0
Eredivisie:1621,Rijk Janse,N.E.C.,Eredivisie,GK,17.9,5896.3,2.9,0.0,1.0
Eredivisie:1624,Luciano Valente,Feyenoord,Eredivisie,CM,92.9,11703.6,32.0,8.4,23.0
Eredivisie:1625,Youri Regeer,Ajax,Eredivisie,CM,85.7,11230.5,29.0,9.4,17.0
Eredivisie:1626,Gyan de Regt,Excelsior,Eredivisie,CM,100.0,11602.4,35.0,14.5,24.0
Eredivisie:1627,Damian van der Haar,PEC Zwolle,Eredivisie,LB,14.3,,,,
Eredivisie:1631,Nils Rossen,Telstar,Eredivisie,CM,89.3,11830.9,41.6,5.9,25.0
Eredivisie:1635,,FC Utrecht,Eredivisie,,39.3,,,,
Eredivisie:1636,Amourricho van Axel Dongen,sc Heerenveen,Eredivisie,CF,35.7,,,,
Eredivisie:1643,,Go Ahead Eagles,Eredivisie,,21.4,,,,
Eredivisie:1655,Arno Verschueren,FC Twente,Eredivisie,CM,89.3,11488.7,41.8,15.6,3.0
Eredivisie:166,Calvin Verdonk,N.E.C.,Eredivisie,LB,14.3,9628.9,22.1,7.6,4.0
Eredivisie:1660,Kamal Sowah,NAC Breda,Eredivisie,CM,96.4,11185.8,33.0,11.9,26.0
Eredivisie:1668,Timo Jansink,Heracles Almelo,Eredivisie,GK,71.4,4755.6,0.4,0.1,12.0
Eredivisie:1669,Sem Scheperman,Heracles Almelo,Eredivisie,DM,39.3,11058.1,32.3,7.5,7.0
Eredivisie:1671,Mexx Meerdink,AZ,Eredivisie,CB,46.4,10418.7,35.8,10.7,6.0
Eredivisie:1673,Przemyslaw Tyton,FC Twente,Eredivisie,GK,46.4,5141.9,0.9,0.0,1.0
Eredivisie:1675,,FC Groningen,Eredivisie,,10.7,,,,
Eredivisie:168,Joël Drommel,Sparta Rotterdam,Eredivisie,GK,100.0,5291.6,0.9,0.1,28.0
Eredivisie:1680,Maxim Dekker,AZ,Eredivisie,CB,46.4,10705.9,23.6,5.9,2.0
Eredivisie:1685,Milan Smit,Go Ahead Eagles,Eredivisie,CF,67.9,11807.7,38.9,12.7,15.0
Eredivisie:1687,,FC Twente,Eredivisie,,42.9,,,,
Eredivisie:1690,Anass Salah-Eddine,PSV,Eredivisie,LB,53.6,10280.0,21.9,9.9,10.0
Eredivisie:1691,Miliano Jonathans,Excelsior,Eredivisie,LB,82.1,11774.3,31.6,13.3,2.0
Eredivisie:1693,Philippe Sandler,N.E.C.,Eredivisie,CB,67.9,9793.8,22.0,8.6,16.0
Eredivisie:1695,Tristan van Gilst,Heracles Almelo,Eredivisie,LW,78.6,11542.8,39.9,14.0,8.0
Eredivisie:1704,Mike Eerdhuijzen,FC Utrecht,Eredivisie,CB,39.3,9995.6,26.9,5.6,1.0
Eredivisie:1705,Jonathan de Guzmán,Sparta Rotterdam,Eredivisie,DM,32.1,,,,
Eredivisie:1706,Tobias Lauritsen,Sparta Rotterdam,Eredivisie,CF,100.0,9863.0,26.2,5.1,28.0
Eredivisie:1708,Charles-Andreas Brym,NAC Breda,Eredivisie,RW,78.6,10301.7,29.4,15.3,15.0
Eredivisie:1710,Joshua Kitolano,Sparta Rotterdam,Eredivisie,DM,92.9,11423.3,33.9,12.2,23.0
Eredivisie:1722,Stijn van Gassel,Excelsior,Eredivisie,GK,92.9,5533.6,1.4,0.1,25.0
Eredivisie:1726,Julian Baas,Sparta Rotterdam,Eredivisie,DM,82.1,11935.7,33.4,4.5,10.0
Eredivisie:1728,,Sparta Rotterdam,Eredivisie,,42.9,,,,
Eredivisie:1739,Rui Jorge Monteiro Mendes,FC Groningen,Eredivisie,CM,53.6,,,,
Eredivisie:1741,Remi van Ekeris,Telstar,Eredivisie,LW,14.3,,,,
Eredivisie:1745,Julius Dirksen,Go Ahead Eagles,Eredivisie,CB,64.3,10158.9,19.3,4.6,6.0
Eredivisie:1754,Vasilios Barkas,FC Utrecht,Eredivisie,GK,96.4,4922.0,0.9,0.0,26.0
Eredivisie:1756,Taylor Booth,FC Twente,Eredivisie,RW,39.3,12277.2,47.7,11.7,4.0
Eredivisie:1757,Can Bozdogan,FC Utrecht,Eredivisie,DM,71.4,11334.1,35.9,6.4,3.0
Eredivisie:1764,Derry John Murkin,FC Utrecht,Eredivisie,LB,53.6,11030.5,34.5,11.7,2.0
Eredivisie:1765,Billy van Duijl,AZ,Eredivisie,CB,32.1,9798.6,23.2,7.4,4.0
Eredivisie:1767,Damon Mirani,Heracles Almelo,Eredivisie,CB,96.4,10453.9,24.1,6.5,27.0
Eredivisie:1769,Robert Mühren,FC Volendam,Eredivisie,LW,92.9,10855.1,28.1,9.6,3.0
Eredivisie:1772,Lequincio Zeefuik,Heracles Almelo,Eredivisie,CF,75.0,9544.9,25.6,8.8,10.0
Eredivisie:1773,Kayne van Oevelen,FC Volendam,Eredivisie,GK,100.0,5306.0,1.7,0.1,28.0
Eredivisie:1774,Givairo Read,Feyenoord,Eredivisie,RB,42.9,10535.6,30.6,13.9,9.0
Eredivisie:1776,Walid Ould-Chikh,Heracles Almelo,Eredivisie,AM,75.0,10122.2,29.5,9.3,13.0
Eredivisie:1779,Ryan Flamingo,PSV,Eredivisie,CB,96.4,10753.5,28.0,5.5,11.0
Eredivisie:1783,Noah Naujoks,Excelsior,Eredivisie,CM,89.3,12308.6,33.1,13.3,22.0
Eredivisie:1791,Willum Willumsson,N.E.C.,Eredivisie,AM,14.3,12758.5,68.1,10.3,1.0
Eredivisie:1792,Oliver Edvardsen,Ajax,Eredivisie,RW,60.7,11207.8,39.7,15.5,4.0
Eredivisie:1793,Robbin Weijenberg,Go Ahead Eagles,Eredivisie,LB,39.3,,,,
Eredivisie:1794,,Go Ahead Eagles,Eredivisie,,32.1,,,,
Eredivisie:1801,Derensili Sanches Fernandes,Excelsior,Eredivisie,CM,96.4,10963.1,33.6,15.4,23.0
Eredivisie:1802,Patrick Brouwer,Telstar,Eredivisie,CM,85.7,12070.0,42.9,16.1,22.0
Eredivisie:1809,Dean James,Go Ahead Eagles,Eredivisie,LB,78.6,11349.5,33.6,12.7,18.0
Eredivisie:1817,Ahmetcan Kaplan,N.E.C.,Eredivisie,CB,89.3,9802.6,19.9,6.8,23.0
Eredivisie:1833,Xavier Mbuyamba,FC Volendam,Eredivisie,CM,57.1,10038.6,20.2,8.9,7.0
Eredivisie:1836,Ricardo Pepi,PSV,Eredivisie,CF,71.4,10404.5,32.3,11.9,9.0
Eredivisie:1846,Thom van Bergen,FC Groningen,Eredivisie,CF,100.0,10955.1,34.5,14.2,28.0
Eredivisie:1853,,Go Ahead Eagles,Eredivisie,,42.9,,,,
Eredivisie:1855,Niek Schiks,PSV,Eredivisie,GK,46.4,6067.0,3.3,0.0,2.0
Eredivisie:1856,Jorg Schreuders,FC Groningen,Eredivisie,CM,100.0,11154.6,36.1,13.2,25.0
Eredivisie:1857,Déron Payne,FC Volendam,Eredivisie,RB,64.3,9971.8,27.3,9.8,9.0
Eredivisie:1861,Alfons Sampsted,Go Ahead Eagles,Eredivisie,RB,21.4,11847.8,41.3,8.9,5.0
Eredivisie:1865,,AZ,Eredivisie,,10.7,,,,
Eredivisie:1866,Rome-Jayden Owusu-Oduro,AZ,Eredivisie,GK,64.3,4492.7,1.0,0.2,18.0
Eredivisie:1873,Olivier Aertssen,PEC Zwolle,Eredivisie,AM,78.6,9903.9,21.6,9.6,12.0
Eredivisie:1878,Calvin Twigt,Go Ahead Eagles,Eredivisie,DM,53.6,12420.2,40.5,5.7,4.0
Eredivisie:1885,Irakli Yegoian,Excelsior,Eredivisie,CM,89.3,12158.9,40.4,9.5,25.0
Eredivisie:1889,Wouter Goes,AZ,Eredivisie,CB,96.4,10645.3,22.4,4.2,26.0
Eredivisie:1893,Bernt Klaverboer,sc Heerenveen,Eredivisie,GK,96.4,6025.0,1.0,0.0,23.0
Eredivisie:1896,Anthony Descotte,FC Volendam,Eredivisie,DM,32.1,10550.1,25.1,8.1,3.0
Eredivisie:1908,Mathijs Tielemans,Excelsior,Eredivisie,DM,21.4,12335.8,47.1,6.8,2.0
Eredivisie:1909,Mohamed Nassoh,NAC Breda,Eredivisie,LW,89.3,11394.3,36.8,8.6,16.0
Eredivisie:1911,Jetro Willems,N.E.C.,Eredivisie,CB,35.7,9951.8,24.2,3.6,2.0
Eredivisie:1912,Lewis Schouten,Excelsior,Eredivisie,CB,71.4,11390.0,25.1,4.0,7.0
Eredivisie:1913,Mats Rots,FC Twente,Eredivisie,LB,100.0,10523.3,30.9,13.6,27.0
Eredivisie:1915,,FC Twente,Eredivisie,,3.6,,,,
Eredivisie:1919,Kristian Hlynsson,FC Twente,Eredivisie,CM,96.4,12470.4,48.6,11.6,24.0
Eredivisie:192,,Sparta Rotterdam,Eredivisie,,42.9,,,,
Eredivisie:1923,Mika Godts,Ajax,Eredivisie,LW,92.9,10010.4,26.1,13.0,24.0
Eredivisie:1926,Tygo Land,FC Groningen,Eredivisie,CM,96.4,11851.5,28.7,3.5,10.0
Eredivisie:1933,,FC Groningen,Eredivisie,,7.1,,,,
Eredivisie:194,Alen Halilovic,Fortuna Sittard,Eredivisie,LW,10.7,,,,
Eredivisie:1947,Anselmo MacNulty,PEC Zwolle,Eredivisie,CB,96.4,10083.3,21.4,5.9,27.0
Eredivisie:195,Joey Veerman,PSV,Eredivisie,DM,92.9,11587.7,33.4,4.4,24.0
Eredivisie:1950,Nordin Bakker,sc Heerenveen,Eredivisie,GK,50.0,6258.8,0.0,0.0,1.0
Eredivisie:1955,Jochem Ritmeester van de Kamp,Telstar,Eredivisie,RW,82.1,11774.9,43.0,16.2,22.0
Eredivisie:1956,Lance Duijvestijn,Fortuna Sittard,Eredivisie,AM,78.6,11599.7,43.8,10.4,15.0
Eredivisie:1958,Tyrese Noslin,Telstar,Eredivisie,CM,100.0,11129.9,37.0,14.0,21.0
Eredivisie:1966,Stije Resink,FC Groningen,Eredivisie,CM,85.7,11836.8,31.9,6.9,23.0
Eredivisie:197,Mitchell van Bergen,Sparta Rotterdam,Eredivisie,RW,92.9,11644.3,34.1,19.5,23.0
Eredivisie:1976,Mats Egbring,sc Heerenveen,Eredivisie,RB,50.0,11232.8,30.3,19.3,1.0
Eredivisie:1978,,PSV,Eredivisie,,7.1,,,,
Eredivisie:1983,Espen van Ee,sc Heerenveen,Eredivisie,AM,10.7,12108.6,44.3,13.8,1.0
Eredivisie:1985,Oliver Braude,sc Heerenveen,Eredivisie,RB,92.9,11095.8,30.0,12.5,26.0
Eredivisie:1987,Richonell Margaret,Go Ahead Eagles,Eredivisie,LW,75.0,11739.5,34.9,13.9,8.0
Eredivisie:1995,Sava-Arangel Cestic,Heracles Almelo,Eredivisie,CB,7.1,9606.3,21.3,7.3,2.0
Eredivisie:1996,Antonio Satriano,Heracles Almelo,Eredivisie,CF,7.1,,,,
Eredivisie:1997,Jannes Wieckhoff,Heracles Almelo,Eredivisie,RB,67.9,10593.0,34.0,8.1,4.0
Eredivisie:1998,Bryan Limbombe,Heracles Almelo,Eredivisie,RW,78.6,10596.4,34.0,13.6,16.0
Eredivisie:1999,,Heracles Almelo,Eredivisie,,14.3,,,,
Eredivisie:200,Sherel Floranus,PEC Zwolle,Eredivisie,LB,96.4,10129.2,26.4,12.5,26.0
Eredivisie:2001,Nick Fichtinger,PEC Zwolle,Eredivisie,DM,67.9,11295.5,34.1,7.0,4.0
Eredivisie:2003,,PEC Zwolle,Eredivisie,,42.9,,,,
Eredivisie:2009,Bram Nuytinck,N.E.C.,Eredivisie,CB,7.1,,,,
Eredivisie:2010,,N.E.C.,Eredivisie,,7.1,,,,
Eredivisie:2011,Koki Ogawa,N.E.C.,Eredivisie,LW,82.1,10476.0,36.1,4.9,14.0
Eredivisie:2013,Brayann Pereira,N.E.C.,Eredivisie,CB,78.6,9885.8,30.1,15.7,9.0
Eredivisie:2016,Roberto González Bayón,N.E.C.,Eredivisie,AM,46.4,10701.9,34.3,8.6,1.0
Eredivisie:2017,Casper Widell,Excelsior,Eredivisie,CB,100.0,10335.2,20.4,4.8,28.0
Eredivisie:2021,Ruben van Bommel,PSV,Eredivisie,LW,21.4,10010.6,33.8,13.8,4.0
Eredivisie:2022,Leo Sauer,Feyenoord,Eredivisie,LW,71.4,10479.8,27.3,13.1,15.0
